Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
MANGIAMO ITALIAN GRILL,107 W. MICHIGAN AVE,SALINE,09/02/2014,0,2,5
MARCO'S PIZZA #56,1752 PLYMOUTH ROAD,ANN ARBOR,09/03/2014,0,0,8
MARCO'S PIZZA (ANGA LLC),4068 PACKARD,ANN ARBOR,09/17/2014,2,2,0
MARK 4 LOUNGE,1180 S. MAIN STREET,CHELSEA,09/24/2014,0,1,2
McDONALD'S #6332,166 JAMES L. HART PARKWAY,YPSILANTI,09/16/2014,0,0,6
MI ZARAPE II LLC,7025 E MICHIGAN AVENUE,SALINE,09/16/2014,2,2,7
MIGHTY GOOD COFFEE ROASTING CO.,217 N. MAIN ST.,ANN ARBOR,09/24/2014,0,0,2
MILL CREEK MIDDLE SCHOOL,7305 DEXTER-ANN ARBOR,DEXTER,09/08/2014,1,0,1
NO THAI!,1300 S UNIVERSITY STE #3,ANN ARBOR,09/04/2014,1,1,0
NO THAI! 2,226 N. FOURTH ST.,ANN ARBOR,09/24/2014,0,1,5
NOODLES & COMPANY,320 S. STATE STREET,ANN ARBOR,09/18/2014,0,0,3
NT FOOD FOUNDRY,4747 WASHTENAW AVE,ANN ARBOR,09/29/2014,0,1,4
NYPD YPSILANTI PIZZA DEPOT,308 PERRIN ST,YPSILANTI,09/02/2014,4,4,10
OLGA'S KITCHEN,3399 PLYMOUTH RD,ANN ARBOR,09/03/2014,1,4,8
OUR SAVIOR LUTHERAN CHURCH,1515 S. MAIN STREET,CHELSEA,09/11/2014,1,0,3
PANERA BREAD #1105,1773 PLYMOUTH RD,ANN ARBOR,09/16/2014,0,1,3
PANERA BREAD #874,903 W. EISENHOWER PKWY,ANN ARBOR,09/15/2014,1,2,4
PILARS TAMALES,2261 W. LIBERTY,ANN ARBOR,09/25/2014,0,0,2
PIONEER HIGH SCHOOL FIELD HOUSE,601 W STADIUM BLVD,ANN ARBOR,09/24/2014,0,0,0
PITA DELITE,4100 GREEN MEADOWS APT 112,YPSILANTI,09/20/2014,0,0,0
PITA PIT,615 E. UNIVERSITY SUITE A,ANN ARBOR,09/12/2014,0,0,2
PITTSFIELD ELEMENTARY,2543 PITTSFIELD BLVD.,ANN ARBOR,09/29/2014,0,0,3
PIZZA HUT #26316,3045 CARPENTER ROAD,YPSILANTI,09/09/2014,0,0,2
PIZZA HUT #26317,5630 JACKSON ROAD,ANN ARBOR,09/03/2014,0,1,2
PIZZA PINO EATERY,221 W. LIBERTY ST.,ANN ARBOR,09/04/2014,3,2,6
PLEASANT RIDGE ELEMENTARY,229 PLEASANT RIDGE,SALINE,09/09/2014,0,0,2
PORTAGE YACHT CLUB,8930 DEXTER-PINCKNEY ROAD,PINCKNEY,09/11/2014,0,0,3
POWELL'S PUB,625 N. HURON,YPSILANTI,09/03/2014,1,0,10
PRIMOVATIONS,50 E. NORTH TERRITORIAL ROAD,WHITMORE LAKE,09/19/2014,2,0,0
QDOBA MEXICAN GRILL,2252 S. MAIN STREET,ANN ARBOR,09/02/2014,0,2,2
QUIZNOS SUB,5645 JACKSON RD,ANN ARBOR,09/24/2014,2,0,5
QUIZNO'S SUB # 13922,3825 CARPENTER RD,YPSILANTI,09/10/2014,0,3,7
RAJA RANI INDIAN CUISINE,400 S. DIVISION,ANN ARBOR,09/03/2014,2,1,3
RED LOBSTER #0260,2420 CARPENTER ROAD,ANN ARBOR,09/04/2014,0,0,6
RIVERSIDE PIZZA COMPANY,9310 MCGREGOR ROAD,PINCKNEY,09/09/2014,1,0,0
ROMANO'S MACARONI GRILL #141,3010 S. STATE STREET,ANN ARBOR,09/15/2014,3,3,6
RUB BBQ & PUB AT ANN ARBOR,640 PACKARD,ANN ARBOR,09/08/2014,2,0,4
