Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
VILLAGE AT ST. JOSEPH HOSPITAL,5341 MCAULEY DRIVE,YPSILANTI,12/08/2014,1,0,2
VINOLOGY,110 S. MAIN ST,ANN ARBOR,12/01/2014,3,0,3
WASHTENAW COUNTY YOUTH CENTER,4125 WASHTENAW AVE,ANN ARBOR,12/12/2014,0,0,2
"WEBER'S BAKERY, BANQUET, STOREROOM",3050 JACKSON ROAD,ANN ARBOR,12/17/2014,0,0,1
"WEBER'S DINING, KITCHEN, VENTURA",3050 JACKSON ROAD,ANN ARBOR,12/17/2014,1,0,2
WEBER'S INN HABITAT/CABANA,3050 JACKSON ROAD,ANN ARBOR,12/17/2014,1,0,0
WENDY'S,3100 BOARDWALK,ANN ARBOR,12/16/2014,0,0,1
WENDY'S,73 S. ZEEB RD.,ANN ARBOR,12/23/2014,0,1,5
WOLVERINE STATE BREWING COMPANY LLC,2019 W. STADIUM BLVD. STE 103,ANN ARBOR,12/19/2014,0,0,2
YOGURT CITY,3650 CARPENTER RD STE C,YPSILANTI,12/17/2014,1,2,3
YOTSUBA JAPANESE RESTAURANT,2222 HOGBACK ROAD,ANN ARBOR,12/09/2014,1,1,5
YPBOR YAN,4905 WASHTENAW,ANN ARBOR,12/18/2014,1,1,12
YPSILANTI ART THEATRE CORP  (DEJAVU),31 N. WASHINGTON,YPSILANTI,12/12/2014,0,0,2
ZINGERMAN'S EVENTS ON FOURTH,415 N. FIFTH AVENUE,ANN ARBOR,12/17/2014,0,0,2
ZINGERMAN'S ROADHOUSE,2501 JACKSON ROAD,ANN ARBOR,12/19/2014,4,0,5
