Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundations Violations,Core Violations
OLD TOWN TAVERN,122 W. LIBERTY,ANN ARBOR,11/06/2014,0,0,6
ORANGE LEAF FROZEN YOGURT,2216 S MAIN ST,ANN ARBOR,11/17/2014,0,0,2
OSCAR'S SPORTS & GRILL,6877 STATE RD SUITE D,SALINE,11/19/2014,1,1,3
PANERA BREAD # 1366,777 N. UNIVERSITY,ANN ARBOR,11/07/2014,1,0,4
PAPA JOHN'S PIZZA,4559 WASHTENAW AVE STE B,ANN ARBOR,11/03/2014,2,3,8
PATTENGILL ELEMENTARY,2100 CRESTLAND,ANN ARBOR,11/13/2014,0,0,1
PINKBERRY BRIARWOOD,"100 BRIARWOOD CIRCLE, KI-34",ANN ARBOR,11/13/2014,0,0,1
PITA PITA,2649 WASHTENAW,YPSILANTI,11/25/2014,2,2,10
PIZZA HUT #26315,2160 RAWSONVILLE ROAD,BELLEVILLE,11/13/2014,0,0,2
PLAID MELON CAFE,312 N. MAIN ST.,CHELSEA,11/06/2014,0,0,1
"PLEASANT LAKE INN, INC.",11275 PLEASANT LAKE ROAD,MANCHESTER,11/20/2014,2,1,5
POPEYE'S,200 BAKER RD,DEXTER,11/06/2014,2,1,6
"POTBELLY SANDWICH WORKS, LLC",980 W. EISENHOWER (SUITE C),ANN ARBOR,11/21/2014,0,1,5
QUARTER BISTRO,300 S. MAPLE ROAD,ANN ARBOR,11/12/2014,0,0,4
RAY'S RED HOT'S MOBILE,629 E. UNIVERSITY,ANN ARBOR,11/01/2014,1,0,0
RICH JC,1313 S. UNIVERSITY,ANN ARBOR,11/07/2014,0,0,3
ROUNDTREE TERRACE CAFE LLC,2203 ELLSWORTH ROAD,YPSILANTI,11/19/2014,0,0,3
RUSH STREET RESTAURANT,314 S. MAIN STREET,ANN ARBOR,11/14/2014,3,1,6
SALEM ELEMENTARY,7806 SALEM ROAD,NORTHVILLE,11/24/2014,0,0,2
SALVATION ARMY STAPLES FAMILY CENTER,3660 PACKARD,ANN ARBOR,11/19/2014,0,0,1
SAVA'S,216 S. STATE ST.,ANN ARBOR,11/18/2014,0,0,5
SHEKINAH CHRISTIAN CHURCH,4600 SCIO CHURCH /P.O.BOX 2485,ANN ARBOR,11/10/2014,3,1,1
SHERATON -ANN ARBOR,3200 BOARDWALK,ANN ARBOR,11/06/2014,3,2,9
SIAM KITCHEN,2509 JACKSON ROAD,ANN ARBOR,11/11/2014,1,0,2
SPORTS BAR WESTSIDE (THE),5510 JACKSON ROAD,ANN ARBOR,11/19/2014,0,0,9
ST. JOSEPH PARISH HALL,3470 DOVER STREET,DEXTER,11/07/2014,1,0,3
STARBUCKS COFFEE #2342,3597 WASHTENAW,ANN ARBOR,11/14/2014,1,0,5
STARBUCKS COFFEE #2482,1214 S. UNIVERSITY AVENUE,ANN ARBOR,11/07/2014,0,0,3
STONEY CREEK UNITED METHODIST,8635 STONEY CREEK ROAD,YPSILANTI,11/17/2014,0,1,0
SUBWAY,"7025 E. MICHIGAN AVE., STE. A1",SALINE,11/17/2014,0,0,1
SUBWAY,"25 JACKSON INDUSTRIAL, STE.100",ANN ARBOR,11/06/2014,0,1,3
SUBWAY #3914,1701 PLYMOUTH ROAD,ANN ARBOR,11/03/2014,1,1,2
SUSHI TIME,7050 DEXTER-ANN ARBOR RD #100,DEXTER,11/13/2014,2,0,2
SUVAI TASTE OF INDIA,400 S. DIVISION,ANN ARBOR,11/13/2014,3,3,2
SWEETWATERS COFFEE & TEA,407 N. FIFTH AVE.,ANN ARBOR,11/26/2014,0,1,5
TACO BELL/KFC #22095,1206 DEXTER ROAD,MILAN,11/14/2014,1,0,5
TAQUERIA LA CASITA ,2866 WASHTENAW,YPSILANTI,11/06/2014,5,2,7
TASTE KITCHEN,521 E LIBERTY,ANN ARBOR,11/04/2014,4,4,4
THOMPSON'S BAR & GRILL,10655 W. MICHIGAN AVENUE,SALINE,11/21/2014,1,0,5
TIM HORTON'S,760 S. HEWITT ROAD,YPSILANTI,11/04/2014,9,8,14
TIO'S ON LIBERTY,401 E. LIBERTY,ANN ARBOR,11/05/2014,1,0,4
TOWNE PLACE SUITES,1301 BRIARWOOD CIRCLE DR.,ANN ARBOR,11/19/2014,2,1,3
TRAVEL CENTERS OF AMERICA T/A,200 BAKER ROAD,DEXTER,11/04/2014,2,2,3
TRAVIS POINTE COUNTRY CLUB,2829 TRAVIS POINTE ROAD,ANN ARBOR,11/19/2014,2,4,3
TRI-COUNTY SPORTSMEN'S LEAGUE,8640 MOON ROAD,SALINE,11/21/2014,2,1,1
UNION HALL KITCHEN,208 W. LIBERTY,ANN ARBOR,11/18/2014,0,0,1
WCC CULINARY ARTS KITCHEN,4800 E. HURON RIVER DRIVE,ANN ARBOR,11/03/2014,1,0,1
WENDY'S,760 E. MICHIGAN AVENUE,SALINE,11/13/2014,1,0,4
WENDY'S,750 S. HEWITT ROAD,YPSILANTI,11/17/2014,0,0,5
WETZEL'S PRETZELS,100 BRIARWOOD CIRCLE K108,ANN ARBOR,11/13/2014,0,0,0
WHITMORE LAKE HIGH SCHOOL KITCHEN,7430 WHITMORE LAKE RD.,WHITMORE LAKE,11/20/2014,2,0,1
ZOLA BISTRO,3030 WASHTENAW AVE,ANN ARBOR,11/24/2014,3,2,6
