Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
SUBWAY,10955 WILLIS ROAD,WILLIS,10/14/2014,1,1,3
SUBWAY,885 W. EISENHOWER PKWY,ANN ARBOR,10/27/2014,0,0,4
SUBWAY #4653,4009 CARPENTER ROAD,YPSILANTI,10/06/2014,0,1,5
SUBWAY (HGS 4),"2124 WHITTAKER ROAD, SUITE C ",YPSILANTI,10/14/2014,1,3,1
SUBWAY at WCC (ARAMARK),4800 E HURON RIVER DR,ANN ARBOR,10/07/2014,0,1,0
SUSHI TOWN,740 PACKARD,ANN ARBOR,10/17/2014,0,0,2
TGI FRIDAYS,3015 LOHR ROAD,ANN ARBOR,10/17/2014,2,0,6
THAI-THAI (BY S & K KITCHEN),2612 WASHTENAW,YPSILANTI,10/09/2014,2,1,5
THURSTON ELEMENTARY,2300 PRAIRIE,ANN ARBOR,10/21/2014,0,0,1
TIM HORTON'S,524 E. MICHIGAN AVENUE,SALINE,10/30/2014,2,1,8
TRINITY PRESBYTERIAN CHURCH,10101 W. ANN ARBOR ROAD,PLYMOUTH,10/23/2014,2,1,3
TROPICAL SMOOTHIE CAFE',607 E LIBERTY ST,ANN ARBOR,10/23/2014,0,0,1
UAW LOCAL ,601 WOODLAND DRIVE,SALINE,10/31/2014,0,0,1
VIE FITNESS & SPA,209 S. ASHLEY ST. ,ANN ARBOR,10/09/2014,1,0,2
VILLAGE KITCHEN,241 N. MAPLE ROAD,ANN ARBOR,10/23/2014,2,0,7
WASHTENAW INTERNATIONAL HIGH SCHOOL,510 EMERICK,YPSILANTI,10/28/2014,1,0,3
WCC MORRIS LAWRENCE BLDG/ FABULOUS FOODS,4800 E. HURON RIVER DRIVE,ANN ARBOR,10/03/2014,0,0,2
WENDY'S,1640 COMMERCE PARK DR,CHELSEA,10/31/2014,0,0,6
WEST END GRILL,120 W. LIBERTY,ANN ARBOR,10/09/2014,1,3,9
WHATS COOKING!,3744 PLAZA DRIVE,ANN ARBOR,10/26/2014,1,1,1
WOLVERINE GRILL,228 W. MICHIGAN AVENUE,YPSILANTI,10/28/2014,2,1,9
YPSILANTI COMMUNITY HIGH SCHOOL,2095 PACKARD,YPSILANTI,10/22/2014,1,0,6
YPSILANTI COMMUNITY MIDDLE SCHOOL,235 SPENCER LANE,YPSILANTI,10/07/2014,3,0,0
ZAL GAZ GROTTO,2070 W. STADIUM BLVD,ANN ARBOR,10/21/2014,0,0,2
ZAMMAN CAFE,865 EISENHOWER PKWY.,ANN ARBOR,10/08/2014,1,1,13
