Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
FOREST  SCHOOL,1706 ECORSE ROAD,YPSILANTI,04/16/2015,1,0,1
FOUNDATIONS PRESCHOOL OF WC- DOWNSTAIRS,550 PERRY ST,YPSILANTI,04/21/2015,1,1,3
FOUNDATIONS PRESCHOOL OF WC- UPSTAIRS,550 PERRY ST.,YPSILANTI,04/21/2015,0,1,2
FRANKS RESTAURANT,334 MAYNARD,ANN ARBOR,04/08/2015,2,0,7
FULL CIRCLE COMMUNITY CENTER,750 TOWNER,YPSILANTI,04/01/2015,1,0,1
GABRIEL'S CHEESE STEAK HOAGIES,972 E MICHIGAN AVE,SALINE,04/07/2015,0,0,2
GET SOME BURRITOS MI LLC,707 PACKARD,ANN ARBOR,04/17/2015,0,0,1
GOOGLE-CONTINENTAL DINING SERVICES,401 E. LIBERTY ST,ANN ARBOR,04/30/2015,1,1,1
GREAT PLAINS BURGER COMPANY,1771 PLYMOUTH RD.,ANN ARBOR,04/08/2015,3,3,5
GREENHILLS SCHOOL,850 GREENHILLS DR.,ANN ARBOR,04/14/2015,0,0,1
GRIZZLY PEAK BREWING CO.,120 W. WASHINGTON,ANN ARBOR,04/15/2015,2,2,9
"HAABS RESTAURANT, INC",18 W. MICHIGAN AVENUE,YPSILANTI,04/20/2015,1,1,9
HAISLEY ELEMENTARY,825 DUNCAN,ANN ARBOR,04/14/2015,0,0,0
HAPPY WOK,1916 W. STADIUM BLVD,ANN ARBOR,04/21/2015,1,0,4
HEIDELBERG,215 N. MAIN STREET,ANN ARBOR,04/06/2015,6,4,6
HELLO ICE CREAM & GELATO,3744 PLAZA DR,ANN ARBOR,04/23/2015,0,0,0
HENRY FORD ELEMENTARY,2440 CLARK ROAD,YPSILANTI,04/24/2015,0,0,0
HIDDEN DRAGON,15 W. MICHIGAN AVENUE,YPSILANTI,04/01/2015,1,3,6
HOLIDAY INN EXPRESS,323 N ZEEB RD,ANN ARBOR,04/09/2015,2,0,2
HOLMES ELEMENTARY SCHOOL,1255 HOLMES ROAD,YPSILANTI,04/24/2015,0,0,0
HURON HILLS GOLF COURSE,3465 E. HURON RIVER DRIVE,ANN ARBOR,04/28/2015,1,2,2
HUT-K CHAATS HOUSE,3022 PACKARD ST.,ANN ARBOR,04/16/2015,0,0,2
INVERNESS INN -  REXO LLC,13996 NORTH TERRITORIAL RD,GREGORY,04/30/2015,2,0,2
IZZY'S HOAGIE SHOP,1924 W. STADIUM BLVD,ANN ARBOR,04/20/2015,0,0,2
"JAVA SPOT, THE at WCC (ARAMARK)",4800 E HURON RIVER DR,ANN ARBOR,04/02/2015,0,2,1
JEWISH COMMUNITY CENTER,2935 BIRCH HOLLOW DRIVE,ANN ARBOR,04/28/2015,0,0,1
JIMMY JOHN'S,2615 PLYMOUTH ROAD,ANN ARBOR,04/03/2015,2,4,3
JIMMY JOHN'S,600 PACKARD,ANN ARBOR,04/08/2015,3,3,2
JOE'S CONEY ISLAND,6066 RAWSONVILLE ROAD,BELLEVILLE,04/28/2015,3,2,4
JOE'S JAVA @ SJMH - ANN ARBOR,5301 EAST HURON RIVER DR.,ANN ARBOR,04/08/2015,0,0,2
JUICY KITCHEN,1506 N. MAPLE ROAD,ANN ARBOR,04/02/2015,0,0,1
KNOX PRESBYTERIAN CHURCH,2065 S WAGNER,ANN ARBOR,04/30/2015,0,0,0
LAI LAI (YOU & KIN INC),4023 CARPENTER ROAD,YPSILANTI,04/01/2015,0,1,4
LAKEWOOD ELEMENTARY SCHOOL,344 GRALAKE,ANN ARBOR,04/27/2015,1,0,0
LE DOG/DOBOS INTERNATIONAL,"306 S. MAIN ST., SUITE 1E",ANN ARBOR,04/10/2015,0,1,0
LINCOLN BRICK ELEMENTARY,8970 WHITTAKER ROAD,YPSILANTI,04/14/2015,0,0,0
LINCOLN CHILDS ELEMENTARY SCHOOL,7300 BEMIS ROAD,YPSILANTI,04/21/2015,0,0,1
LINCOLN HIGH SCHOOL EAST,7525 WILLIS ROAD,YPSILANTI,04/16/2015,0,0,2
LINCOLN HIGH SCHOOL WEST,7425 WILLIS ROAD,YPSILANTI,04/16/2015,0,0,0
LINCOLN MIDDLE SCHOOL,8744 WHITTAKER ROAD,YPSILANTI,04/16/2015,0,0,2
LITTLE CAESAR'S PIZZA,3000 PACKARD,ANN ARBOR,04/14/2015,1,2,2
LOTUS THAI RESTAURANT,2803 OAK VALLEY DRIVE,ANN ARBOR,04/28/2015,0,1,9
LUCA'S CONEY ISLAND,309 E. MICHIGAN AVENUE,YPSILANTI,04/02/2015,1,2,2
"LUNCH ROOM BAKERY & CAFE, THE","2200 FULLER CT., SUITE 8B",ANN ARBOR,04/13/2015,2,1,1
MACK ELEMENTARY SCHOOL,920 MILLER,ANN ARBOR,04/02/2015,0,0,3
MAC'S IN SALINE LLC,104 E. MICHIGAN AVENUE,SALINE,04/29/2015,0,2,8
MARK'S MIDTOWN CONEY ISLAND  ,3586 PLYMOUTH ROAD,ANN ARBOR,04/30/2015,0,1,7
MCDONALD'S #6134,373 N. ZEEB ROAD,ANN ARBOR,04/30/2015,0,1,9
MICKEY'S DAIRY TWIST,751 W. MICHIGAN AVENUE,SALINE,04/14/2015,0,0,3
MIKE'S DELI,114 W. MIDDLE STREET,CHELSEA,04/24/2015,1,1,5
MILAN CONEY ISLAND & RESTAURANT,1152 DEXTER,MILAN,04/09/2015,5,3,4
MO P'S,2071 GOLFSIDE,YPSILANTI,04/03/2015,3,2,0
MODEL ELEMENTARY SCHOOL (LINCOLN),8850 WHITTAKER RD. ,YPSILANTI,04/21/2015,0,0,0
