Establishment,Address,City,Inspection Date,Priority Violations Cnt,Priority Foundation Violations,Core Violations
"POTBELLY SANDWICH WORKS, LLC",3785 WASHTENAW AVE,ANN ARBOR,02/17/2015,3,0,6
POWELL'S PUB,625 N. HURON,YPSILANTI,02/27/2015,0,1,11
PRICKLY PEAR CAFE,328 S. MAIN STREET,ANN ARBOR,02/19/2015,3,1,3
PRIMO FITNESS CENTER WCC -FITNESS CENTER,4833 EAST HURON RIVER,ANN ARBOR,02/03/2015,3,1,4
QDOBA MEXICAN GRILL,1771 PLYMOUTH RD STE 103,ANN ARBOR,02/17/2015,1,0,3
REAGLE BEAGLE,817 E. MICHIGAN AVENUE,YPSILANTI,02/10/2015,1,1,2
REAL SEAFOOD,341 S. MAIN STREET,ANN ARBOR,02/12/2015,3,1,1
RED ROBIN GOURMET BURGERS - ANN ARBOR,575 BRIARWOOD CR.,ANN ARBOR,02/04/2015,0,0,1
SALINE DOWNTOWN DINER,"131 E. MICHIGAN AVENUE, STE D",SALINE,02/24/2015,0,1,8
SHALIMAR RESTAURANT,307 S. MAIN STREET,ANN ARBOR,02/11/2015,4,3,2
SILVIO'S ORGANIC PIZZERIA,715 N. UNIVERSITY STE #2,ANN ARBOR,02/09/2015,2,1,1
"SONGBIRD, THE",2707 PLYMOUTH RD,ANN ARBOR,02/20/2015,2,1,8
ST. FRANCIS OF ASSISI CHURCH,2150 FRIEZE AVENUE,ANN ARBOR,02/18/2015,1,2,5
ST. MARY'S PARISH CENTER,110 E. MADISON,MANCHESTER,02/03/2015,0,0,1
ST. PATRICK'S CHURCH-PARISH HALL,5671 WHITMORE LAKE ROAD,ANN ARBOR,02/17/2015,0,1,1
STARBUCKS COFFEE #11966,4585 WASHTENAW AVE,ANN ARBOR,02/04/2015,0,0,3
STARBUCKS COFFEE #8793,300 S. MAIN STREET,ANN ARBOR,02/06/2015,0,0,6
STOCKWELL'S HOME COOKIN,114 ADRIAN STREET,MANCHESTER,02/03/2015,0,0,3
SUBWAY,1094 HURON RIVER DRIVE,YPSILANTI,02/19/2015,0,1,2
SUBWAY,3395 PLYMOUTH RD.,ANN ARBOR,02/05/2015,0,0,2
SUBWAY,3384 WASHTENAW,ANN ARBOR,02/24/2015,0,0,2
SUBWAY,1478 ECORSE ROAD,YPSILANTI,02/10/2015,1,2,1
SUBWAY #48241,1251 N MAPLE SUITE 2,ANN ARBOR,02/19/2015,0,0,1
SUBWAY #5076,2868 WASHTENAW,YPSILANTI,02/23/2015,0,0,0
SUBWAY @ WAL-MART,2515 ELLSWORTH RD.,YPSILANTI,02/04/2015,1,1,1
