Establishment,Address,City,Inspection Date,Priority Violations,Priority Foundation Violations,Core Violations
PANDA HOUSE,229 N. MAPLE RD.,ANN ARBOR,05/29/2015,0,1,4
PANERA BREAD # 1366,777 N. UNIVERSITY,ANN ARBOR,05/13/2015,0,0,6
PAPA JOHN'S PIZZA,4559 WASHTENAW AVE STE B,ANN ARBOR,05/04/2015,1,1,3
PATTENGILL ELEMENTARY,2100 CRESTLAND,ANN ARBOR,05/04/2015,0,0,2
PINE VIEW GOLF COURSE,5820 STONEY CREEK ROAD,YPSILANTI,05/06/2015,0,1,5
PINKBERRY BRIARWOOD,"100 BRIARWOOD CIRCLE, KI-34",ANN ARBOR,05/04/2015,0,1,4
PIZZA BOB'S,814 S. STATE STREET,ANN ARBOR,05/11/2015,0,0,4
PLAID MELON CAFE,312 N. MAIN ST.,CHELSEA,05/06/2015,0,0,2
POPEYE'S,200 BAKER RD,DEXTER,05/12/2015,0,0,1
"POTBELLY SANDWICH WORKS, LLC",980 W. EISENHOWER (SUITE C),ANN ARBOR,05/22/2015,0,1,3
REDDEMAN FARMS GOLF CLUB,555 DANCER ROAD,CHELSEA,05/14/2015,5,3,2
RICEWOOD,1928 PACKARD RD,ANN ARBOR,05/27/2015,0,0,1
ROY'S BURGER & BBQ,25 WABASH STREET,MILAN,05/28/2015,3,1,5
SALEM ELEMENTARY,7806 SALEM ROAD,NORTHVILLE,05/18/2015,0,0,0
SALVATION ARMY STAPLES FAMILY CENTER,3660 PACKARD,ANN ARBOR,05/07/2015,0,0,0
SAVA'S,216 S. STATE ST.,ANN ARBOR,05/21/2015,2,1,5
SHARON UNITED METHODIST CHURCH - HALL,19980 PLEASANT LAKE RD,MANCHESTER,05/01/2015,0,0,0
SHEKINAH CHRISTIAN CHURCH,4600 SCIO CHURCH /P.O.BOX 2485,ANN ARBOR,05/01/2015,0,4,0
SHERATON -ANN ARBOR,3200 BOARDWALK,ANN ARBOR,05/07/2015,2,1,7
SPORTS BAR WESTSIDE (THE),5510 JACKSON ROAD,ANN ARBOR,05/11/2015,1,0,3
ST. JOSEPH PARISH HALL,3470 DOVER STREET,DEXTER,05/05/2015,0,1,3
STARBUCKS COFFEE #2342,3597 WASHTENAW,ANN ARBOR,05/05/2015,1,0,1
STONEBRIDGE GOLF CLUB,1825 CLUB HOUSE DRIVE,ANN ARBOR,05/20/2015,0,1,1
STONEY CREEK UNITED METHODIST,8635 STONEY CREEK ROAD,YPSILANTI,05/27/2015,1,0,1
SUBWAY,"7025 E. MICHIGAN AVE., STE. A1",SALINE,05/18/2015,1,1,4
SUBWAY,"25 JACKSON INDUSTRIAL, STE.100",ANN ARBOR,05/12/2015,1,2,6
SUBWAY #3914,1701 PLYMOUTH ROAD,ANN ARBOR,05/07/2015,0,1,3
SUSHI TIME,7050 DEXTER-ANN ARBOR RD #100,DEXTER,05/12/2015,0,1,0
SUVAI TASTE OF INDIA,400 S. DIVISION,ANN ARBOR,05/21/2015,1,2,5
SWEETWATERS COFFEE & TEA,407 N. FIFTH AVE.,ANN ARBOR,05/08/2015,3,0,3
TACO BELL # 3836,3860 S. STATE STREET,ANN ARBOR,05/26/2015,0,0,1
TACO BELL/KFC #22095,1206 DEXTER ROAD,MILAN,05/08/2015,0,0,5
TAQUERIA LA CASITA ,2866 WASHTENAW,YPSILANTI,05/15/2015,5,5,4
TASTE KITCHEN,521 E LIBERTY,ANN ARBOR,05/13/2015,1,1,5
THAI-THAI (BY S & K KITCHEN),2612 WASHTENAW,YPSILANTI,05/05/2015,2,0,6
THOMPSON'S BAR & GRILL,10655 W. MICHIGAN AVENUE,SALINE,05/13/2015,2,0,2
TIM HORTON'S,2679 ANN ARBOR SALINE RD,ANN ARBOR,05/28/2015,0,0,8
TIM HORTON'S,760 S. HEWITT ROAD,YPSILANTI,05/01/2015,0,0,3
TIO'S ON LIBERTY,401 E. LIBERTY,ANN ARBOR,05/13/2015,0,1,2
TOWNE PLACE SUITES,1301 BRIARWOOD CIRCLE DR.,ANN ARBOR,05/06/2015,0,0,1
TRAVEL CENTERS OF AMERICA T/A,200 BAKER ROAD,DEXTER,05/07/2015,5,3,5
TRAVIS POINTE COUNTRY CLUB,2829 TRAVIS POINTE ROAD,ANN ARBOR,05/07/2015,4,1,6
TRI-COUNTY SPORTSMEN'S LEAGUE,8640 MOON ROAD,SALINE,05/13/2015,1,0,0
UAW LOCAL ,601 WOODLAND DRIVE,SALINE,05/06/2015,0,0,0
UNION HALL KITCHEN,208 W. LIBERTY,ANN ARBOR,05/28/2015,1,0,5
VILLAGE KITCHEN,241 N. MAPLE ROAD,ANN ARBOR,05/13/2015,0,0,2
VINOLOGY,110 S. MAIN ST,ANN ARBOR,05/21/2015,4,3,3
WELLERS' CARRIAGE HOUSE,555 W. MICHIGAN AVENUE,SALINE,05/22/2015,0,1,5
WENDY'S,760 E. MICHIGAN AVENUE,SALINE,05/05/2015,1,0,2
WENDY'S,750 S. HEWITT ROAD,YPSILANTI,05/01/2015,0,0,1
WETZEL'S PRETZELS,100 BRIARWOOD CIRCLE K108,ANN ARBOR,05/04/2015,0,0,1
WHIPS DOG DAY I ,2515 JACKSON ROAD,ANN ARBOR,05/26/2015,0,0,0
WHITMORE LAKE HIGH SCHOOL KITCHEN,7430 WHITMORE LAKE RD.,WHITMORE LAKE,05/12/2015,0,1,0
ZAL GAZ GROTTO,2070 W. STADIUM BLVD,ANN ARBOR,05/12/2015,0,1,0
